# Version: 1
# Created by: Brainsight 2.3.10
# Units: millimetres
# Encoding: UTF-8
# Notes: Each column is delimited by a tab.
# Date	Time	Polaris Frame Number	Calibration/Tracker Name	x	y	z	m0n0	m0n1	m0n2	m1n0	m1n1	m1n2	m2n0	m2n1	m2n2
2019-03-22	14:09:34.911	20602	CB1175	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.911	20602	CT677	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.911	20602	LCT371	66.969	340.446	-1011.192	-0.475	0.650	-0.593	-0.476	-0.757	-0.448	-0.740	0.070	0.669
2019-03-22	14:09:34.911	20602	P1381	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.911	20602	ST1089	256.751	157.279	-910.382	-0.837	0.528	-0.145	-0.501	-0.845	-0.188	-0.222	-0.084	0.971
2019-03-22	14:09:34.911	20602	70mm alpha	167.415	129.342	122.682	-0.724	0.470	0.504	-0.424	-0.880	0.212	0.544	-0.061	0.837
2019-03-22	14:09:34.979	20605	CB1175	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.979	20605	CT677	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.979	20605	LCT371	67.175	340.365	-1011.243	-0.474	0.650	-0.594	-0.477	-0.757	-0.447	-0.740	0.071	0.669
2019-03-22	14:09:34.979	20605	P1381	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:34.979	20605	ST1089	256.762	157.278	-910.391	-0.837	0.528	-0.144	-0.501	-0.845	-0.188	-0.221	-0.085	0.972
2019-03-22	14:09:34.979	20605	70mm alpha	167.198	129.346	122.655	-0.723	0.470	0.505	-0.424	-0.880	0.213	0.545	-0.060	0.836
2019-03-22	14:09:35.034	20608	CB1175	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:35.034	20608	CT677	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:35.034	20608	LCT371	67.207	340.232	-1011.281	-0.475	0.650	-0.593	-0.477	-0.756	-0.447	-0.739	0.071	0.670
2019-03-22	14:09:35.034	20608	P1381	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:35.034	20608	ST1089	256.759	157.278	-910.378	-0.837	0.528	-0.145	-0.501	-0.845	-0.188	-0.222	-0.084	0.971
2019-03-22	14:09:35.034	20608	70mm alpha	167.094	129.421	122.669	-0.723	0.470	0.506	-0.425	-0.880	0.211	0.545	-0.062	0.836
2019-03-22	14:09:35.084	20611	CB1175	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:35.084	20611	CT677	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
2019-03-22	14:09:35.084	20611	LCT371	67.280	340.143	-1011.297	-0.475	0.650	-0.593	-0.478	-0.756	-0.447	-0.739	0.071	0.670
2019-03-22	14:09:35.084	20611	P1381	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)	(null)
